#
# gethead -up DETSEC CCDNUM CRPIX1 CRPIX2 CRVAL1 CRVAL2 PIXSCAL1 DE*[0-9].fits | awk '{printf "%s    %-30s %2d    %12.2f %12.2f %14.8f %14.8f\n",$1,$2,$3,$4,$5,$6,$7}' > CCDSECTIONS.dat
#
DECam_00155285_51.fits    [20481:22528,4097:8192]        51        -6866.40     10566.67   342.05607027   -44.64526368
DECam_00155285_52.fits    [20481:22528,8193:12288]       52        -6866.40      6307.33   342.05607027   -44.64526368
DECam_00155285_53.fits    [20481:22528,12289:16384]      53        -6866.40      2048.00   342.05607027   -44.64526368
DECam_00155285_54.fits    [20481:22528,16385:20480]      54        -6866.40     -2211.33   342.05607027   -44.64526368
DECam_00155285_55.fits    [20481:22528,20481:24576]      55        -6866.40     -6470.67   342.05607027   -44.64526368
DECam_00155285_56.fits    [22529:24576,6145:10240]       56        -9120.80      8437.00   342.05607027   -44.64526368
DECam_00155285_57.fits    [22529:24576,10240:14335]      57        -9120.80      4177.67   342.05607027   -44.64526368
DECam_00155285_58.fits    [22529:24576,14336:18431]      58        -9120.80       -81.67   342.05607027   -44.64526368
DECam_00155285_59.fits    [22529:24576,18432:22527]      59        -9120.80     -4341.00   342.05607027   -44.64526368
DECam_00155285_60.fits    [24577:26624,8193:12288]       60       -11375.20      6307.33   342.05607027   -44.64526368
DECam_00155285_61.fits    [24577:26624,12289:16384]      61       -11375.20      2048.00   342.05607027   -44.64526368
DECam_00155285_62.fits    [24577:26624,16385:20480]      62       -11375.20     -2211.33   342.05607027   -44.64526368
